[2019-08-12 09:14:17.474623] INFO: match_province: [ Error: province_failed | sorc_id: 8619039 | company: 皖南淮北市万百贵商贸有限公司 | marketing: 皖南]
[2019-08-12 09:14:17.482624] INFO: match_province: [ Error: province_failed | sorc_id: 8619040 | company: 皖南砀山县瑞诺汽车销售服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:17.490631] INFO: match_province: [ Error: province_failed | sorc_id: 8619126 | company: 皖南宿州市世搏工贸有限公司 | marketing: 皖南]
[2019-08-12 09:14:17.499631] INFO: match_province: [ Error: province_failed | sorc_id: 8618950 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.507632] INFO: match_province: [ Error: province_failed | sorc_id: 8619088 | company: 黑吉哈尔滨铭远汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.516635] INFO: match_province: [ Error: province_failed | sorc_id: 8619083 | company: 川南凉山州万泰汽车家园有限公司 | marketing: 川南]
[2019-08-12 09:14:17.524631] INFO: match_province: [ Error: province_failed | sorc_id: 8619017 | company: 黑吉绥化福仕达汽车销售服务有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.532636] INFO: match_province: [ Error: province_failed | sorc_id: 8618946 | company: 皖南太和县范氏汽车服务有限公司 | marketing: 皖南]
[2019-08-12 09:14:17.541634] INFO: match_province: [ Error: province_failed | sorc_id: 8619086 | company: 皖南六安安瑞汽车销售有限公司 | marketing: 皖南]
[2019-08-12 09:14:17.549638] INFO: match_province: [ Error: province_failed | sorc_id: 8619090 | company: 黑吉哈尔滨市宇鹏汽车修配厂 | marketing: 黑吉]
[2019-08-12 09:14:17.557633] INFO: match_province: [ Error: province_failed | sorc_id: 8619091 | company: 黑吉绥化市泰达汽车维修有限公司 | marketing: 黑吉]
[2019-08-12 09:14:17.565624] INFO: match_province: [ Error: province_failed | sorc_id: 8618947 | company: 晋北盂县晋田汽车销售服务有限公司 | marketing: 晋北]
[2019-08-12 09:14:17.574626] INFO: match_province: [ Error: province_failed | sorc_id: 8618954 | company: 晋北五寨县荣泰汽车贸易有限责任公司 | marketing: 晋北]
[2019-08-12 09:14:17.582642] INFO: match_province: [ Error: province_failed | sorc_id: 8619114 | company: 川南眉山市东坡区栖外汽车修理厂 | marketing: 川南]
